117.111.27.252 - - [08/Sep/2021:13:37:48 +0000] "GET /favicon.ico HTTP/1.1" 200 - "http://180.83.98.139/" "Mozilla/5.0 (Linux; Android 11; SM-G977N Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36;KAKAOTALK 2309500"
117.111.27.252 - - [08/Sep/2021:13:37:48 +0000] "GET /w/user/index.html HTTP/1.1" 200 5607 "-" "Mozilla/5.0 (Linux; Android 11; SM-G977N Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36;KAKAOTALK 2309500"
117.111.27.252 - - [08/Sep/2021:13:37:48 +0000] "GET /w/user/assets/css/main.css HTTP/1.1" 200 53004 "http://180.83.98.139/w/user/index.html" "Mozilla/5.0 (Linux; Android 11; SM-G977N Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36;KAKAOTALK 2309500"
117.111.27.252 - - [08/Sep/2021:13:37:48 +0000] "GET /w/user/images/pic01.jpg HTTP/1.1" 200 33975 "http://180.83.98.139/w/user/index.html" "Mozilla/5.0 (Linux; Android 11; SM-G977N Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36;KAKAOTALK 2309500"
117.111.27.252 - - [08/Sep/2021:13:37:48 +0000] "GET /w/user/assets/js/jquery.scrolly.min.js HTTP/1.1" 200 831 "http://180.83.98.139/w/user/index.html" "Mozilla/5.0 (Linux; Android 11; SM-G977N Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36;KAKAOTALK 2309500"
117.111.27.252 - - [08/Sep/2021:13:37:48 +0000] "GET /w/user/assets/js/jquery.min.js HTTP/1.1" 200 95957 "http://180.83.98.139/w/user/index.html" "Mozilla/5.0 (Linux; Android 11; SM-G977N Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36;KAKAOTALK 2309500"
117.111.27.252 - - [08/Sep/2021:13:37:48 +0000] "GET /w/user/assets/js/skel.min.js HTTP/1.1" 200 9085 "http://180.83.98.139/w/user/index.html" "Mozilla/5.0 (Linux; Android 11; SM-G977N Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36;KAKAOTALK 2309500"
117.111.27.252 - - [08/Sep/2021:13:37:48 +0000] "GET /w/user/assets/css/font-awesome.min.css HTTP/1.1" 200 29063 "http://180.83.98.139/w/user/assets/css/main.css" "Mozilla/5.0 (Linux; Android 11; SM-G977N Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36;KAKAOTALK 2309500"
117.111.27.252 - - [08/Sep/2021:13:37:48 +0000] "GET /w/user/assets/js/util.js HTTP/1.1" 200 12433 "http://180.83.98.139/w/user/index.html" "Mozilla/5.0 (Linux; Android 11; SM-G977N Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36;KAKAOTALK 2309500"
117.111.27.252 - - [08/Sep/2021:13:37:48 +0000] "GET /w/user/assets/js/main.js HTTP/1.1" 200 1369 "http://180.83.98.139/w/user/index.html" "Mozilla/5.0 (Linux; Android 11; SM-G977N Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36;KAKAOTALK 2309500"
117.111.27.252 - - [08/Sep/2021:13:37:48 +0000] "GET /w/user/assets/js/includeHTML.js HTTP/1.1" 200 1141 "http://180.83.98.139/w/user/index.html" "Mozilla/5.0 (Linux; Android 11; SM-G977N Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36;KAKAOTALK 2309500"
117.111.27.252 - - [08/Sep/2021:13:37:48 +0000] "GET /w/user/images/pic02.jpg HTTP/1.1" 200 31865 "http://180.83.98.139/w/user/index.html" "Mozilla/5.0 (Linux; Android 11; SM-G977N Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36;KAKAOTALK 2309500"
117.111.27.252 - - [08/Sep/2021:13:37:48 +0000] "GET /w/user/images/pic03.jpg HTTP/1.1" 200 39998 "http://180.83.98.139/w/user/index.html" "Mozilla/5.0 (Linux; Android 11; SM-G977N Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36;KAKAOTALK 2309500"
117.111.27.252 - - [08/Sep/2021:13:37:48 +0000] "GET /w/user/images/pic04.jpg HTTP/1.1" 200 37577 "http://180.83.98.139/w/user/index.html" "Mozilla/5.0 (Linux; Android 11; SM-G977N Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36;KAKAOTALK 2309500"
117.111.27.252 - - [08/Sep/2021:13:37:49 +0000] "GET /w/user/publicHTML/header.html HTTP/1.1" 200 604 "http://180.83.98.139/w/user/index.html" "Mozilla/5.0 (Linux; Android 11; SM-G977N Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36;KAKAOTALK 2309500"
117.111.27.252 - - [08/Sep/2021:13:37:49 +0000] "GET /w/user/images/banner.jpg HTTP/1.1" 200 93111 "http://180.83.98.139/w/user/assets/css/main.css" "Mozilla/5.0 (Linux; Android 11; SM-G977N Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36;KAKAOTALK 2309500"
117.111.27.252 - - [08/Sep/2021:13:37:49 +0000] "GET /w/user/assets/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896 "http://180.83.98.139/w/user/assets/css/font-awesome.min.css" "Mozilla/5.0 (Linux; Android 11; SM-G977N Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36;KAKAOTALK 2309500"
117.111.27.252 - - [08/Sep/2021:13:37:49 +0000] "GET /w/user/images/boardMain1.png HTTP/1.1" 200 23778 "http://180.83.98.139/w/user/index.html" "Mozilla/5.0 (Linux; Android 11; SM-G977N Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36;KAKAOTALK 2309500"
117.111.27.252 - - [08/Sep/2021:13:37:51 +0000] "GET /favicon.ico HTTP/1.1" 200 - "http://180.83.98.139/w/user/index.html" "Mozilla/5.0 (Linux; Android 11; SM-G977N Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36;KAKAOTALK 2309500"
117.111.27.252 - - [08/Sep/2021:13:37:51 +0000] "GET /favicon.ico HTTP/1.1" 200 - "http://180.83.98.139/w/user/index.html" "Mozilla/5.0 (Linux; Android 11; SM-G977N Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36;KAKAOTALK 2309500"
117.111.27.252 - - [08/Sep/2021:13:37:51 +0000] "GET /favicon.ico HTTP/1.1" 200 - "http://180.83.98.139/w/user/index.html" "Mozilla/5.0 (Linux; Android 11; SM-G977N Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36;KAKAOTALK 2309500"
117.111.27.252 - - [08/Sep/2021:13:37:53 +0000] "GET /favicon.ico HTTP/1.1" 200 - "http://180.83.98.139/w/user/index.html" "Mozilla/5.0 (Linux; Android 11; SM-G977N Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36;KAKAOTALK 2309500"
117.111.27.252 - - [08/Sep/2021:13:37:53 +0000] "GET /favicon.ico HTTP/1.1" 200 - "http://180.83.98.139/w/user/index.html" "Mozilla/5.0 (Linux; Android 11; SM-G977N Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36;KAKAOTALK 2309500"
1.254.203.167 - - [08/Sep/2021:13:37:54 +0000] "GET / HTTP/1.1" 302 80 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
1.254.203.167 - - [08/Sep/2021:13:37:54 +0000] "GET /w/user/index.html HTTP/1.1" 200 5607 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
1.254.203.167 - - [08/Sep/2021:13:37:55 +0000] "GET /w/user/assets/css/main.css HTTP/1.1" 200 53004 "http://180.83.98.139/w/user/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
1.254.203.167 - - [08/Sep/2021:13:37:55 +0000] "GET /w/user/images/pic01.jpg HTTP/1.1" 200 33975 "http://180.83.98.139/w/user/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
